, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
0,198,1830000,11,11,2020.340012,1331,0.005050505051,0.0000005464480874
1,210,7120000,3,6,5.417335474,27,0.004761904762,0.0000001404494382
2,195,8650,5,15,55580.25789,125,0.005128205128,0.0001156069364
3,190,32200,1,15,122.5890814,1,0.005263157895,0.00003105590062
4,190,458000,15,25,48480.23443,3375,0.005263157895,0.000002183406114
5,200,8650,7,11,109046.2428,343,0.005,0.0001156069364
6,210,8650,9,25,501651.5277,729,0.004761904762,0.0001156069364
7,212,985000,20,20,38310.50666,8000,0.004716981132,0.000001015228426
8,205,985000,1,25,6.190417234,1,0.00487804878,0.000001015228426
9,198,3010000,9,11,672.7574751,729,0.005050505051,0.0000003322259136
10,203,7120000,13,30,2280.054796,2197,0.004926108374,0.0000001404494382
11,212,8650,20,20,4362525.902,8000,0.004716981132,0.0001156069364
12,212,13500000,9,15,191.0377358,729,0.004716981132,0.00000007407407407
13,212,3010000,3,16,33.84943271,27,0.004716981132,0.0000003322259136
14,210,8650,1,11,302.7800716,1,0.004761904762,0.0001156069364
15,193,1830000,13,1,311.0223959,2197,0.00518134715,0.0000005464480874
16,210,8650,7,16,151059.7303,343,0.004761904762,0.0001156069364
17,190,7120000,1,30,1.108811354,1,0.005263157895,0.0000001404494382
18,200,458000,7,20,3744.541485,343,0.005,0.000002183406114
19,190,41500000,17,20,623.0818009,4913,0.005263157895,0.00000002409638554
20,190,13500000,15,16,1052.631579,3375,0.005263157895,0.00000007407407407
21,212,3010000,11,2,208.581458,1331,0.004716981132,0.0000003322259136
22,203,32200,11,16,162898.1428,1331,0.004926108374,0.00003105590062
23,193,1830000,5,2,35.39171551,125,0.00518134715,0.0000005464480874
24,203,8650,9,11,228337.9367,729,0.004926108374,0.0001156069364
25,195,3010000,11,25,2834.568532,1331,0.005128205128,0.0000003322259136
26,212,1830000,15,16,6959.480359,3375,0.004716981132,0.0000005464480874
27,208,152000,15,4,21349.94939,3375,0.004807692308,0.000006578947368
28,210,458000,1,6,3.119151591,1,0.004761904762,0.000002183406114
29,200,13500000,3,16,8,27,0.005,0.00000007407407407
30,190,8650,3,15,12321.26559,27,0.005263157895,0.0001156069364
31,190,1830000,3,15,58.23986195,27,0.005263157895,0.0000005464480874
32,200,458000,17,15,40226.52838,4913,0.005,0.000002183406114
33,205,8650,13,30,1858451.995,2197,0.00487804878,0.0001156069364
34,203,7120000,20,4,1106.990646,8000,0.004926108374,0.0000001404494382
35,198,985000,15,11,9517.766497,3375,0.005050505051,0.000001015228426
36,200,458000,3,25,368.4497817,27,0.005,0.000002183406114
37,212,7120000,1,16,0.52999788,1,0.004716981132,0.0000001404494382
38,203,3010000,9,15,894.8005826,729,0.004926108374,0.0000003322259136
39,198,8650,5,11,40141.29737,125,0.005050505051,0.0001156069364
40,200,1830000,20,20,21857.9235,8000,0.005,0.0000005464480874
41,190,152000,3,20,934.9030471,27,0.005263157895,0.000006578947368
42,205,8650,5,2,7049.20344,125,0.00487804878,0.0001156069364
43,198,1830000,13,2,606.3365899,2197,0.005050505051,0.0000005464480874
44,193,3010000,17,4,1691.425817,4913,0.00518134715,0.0000003322259136
45,190,7120000,3,15,14.96895328,27,0.005263157895,0.0000001404494382
46,190,152000,20,1,13850.41551,8000,0.005263157895,0.000006578947368
47,200,985000,15,16,13705.58376,3375,0.005,0.000001015228426
48,195,7120000,11,2,95.86574474,1331,0.005128205128,0.0000001404494382
49,190,3010000,15,25,7376.7267,3375,0.005263157895,0.0000003322259136
50,200,458000,20,2,8733.624454,8000,0.005,0.000002183406114
51,190,152000,3,16,747.9224377,27,0.005263157895,0.000006578947368
52,208,1830000,7,30,1351.67087,343,0.004807692308,0.0000005464480874
53,208,152000,3,30,1280.996964,27,0.004807692308,0.000006578947368
54,205,985000,3,15,100.2847592,27,0.00487804878,0.000001015228426
55,198,985000,9,11,2055.837563,729,0.005050505051,0.000001015228426
56,190,32200,7,20,56064.07323,343,0.005263157895,0.00003105590062
57,208,3010000,7,1,27.39266547,343,0.004807692308,0.0000003322259136
58,212,1830000,11,6,1029.229818,1331,0.004716981132,0.0000005464480874
59,198,8650,9,6,127693.1161,729,0.005050505051,0.0001156069364
60,198,8650,9,15,319232.7903,729,0.005050505051,0.0001156069364
61,193,32200,17,11,434806.7454,4913,0.00518134715,0.00003105590062
62,205,3010000,1,15,1.21546066,1,0.00487804878,0.0000003322259136
63,193,7120000,15,1,122.8022938,3375,0.00518134715,0.0000001404494382
64,193,458000,7,2,388.035387,343,0.00518134715,0.000002183406114
65,198,7120000,1,16,0.5674724776,1,0.005050505051,0.0000001404494382
66,208,458000,13,11,12684.22489,2197,0.004807692308,0.000002183406114
67,208,3010000,15,11,2964.876693,3375,0.004807692308,0.0000003322259136
68,210,8650,9,2,40132.12221,729,0.004761904762,0.0001156069364
69,210,8650,9,4,80264.24443,729,0.004761904762,0.0001156069364
70,195,3010000,20,1,681.4890536,8000,0.005128205128,0.0000003322259136
71,198,985000,5,20,640.9270369,125,0.005050505051,0.000001015228426
72,200,8650,15,1,97543.3526,3375,0.005,0.0001156069364
73,193,1830000,13,15,4665.335938,2197,0.00518134715,0.0000005464480874
74,195,32200,3,15,3225.035834,27,0.005128205128,0.00003105590062
75,208,7120000,15,1,113.9463591,3375,0.004807692308,0.0000001404494382
76,210,458000,20,15,62383.03182,8000,0.004761904762,0.000002183406114
77,203,8650,11,4,151598.8496,1331,0.004926108374,0.0001156069364
78,203,13500000,11,15,364.258347,1331,0.004926108374,0.00000007407407407
79,195,41500000,20,11,543.7133148,8000,0.005128205128,0.00000002409638554
80,212,985000,9,6,1047.313476,729,0.004716981132,0.000001015228426
81,190,32200,3,16,3530.565544,27,0.005263157895,0.00003105590062
82,200,152000,11,16,35026.31579,1331,0.005,0.000006578947368
83,198,8650,7,11,110147.72,343,0.005050505051,0.0001156069364
84,193,458000,15,20,38181.32452,3375,0.00518134715,0.000002183406114
85,210,41500000,20,6,275.3872633,8000,0.004761904762,0.00000002409638554
86,200,13500000,9,15,202.5,729,0.005,0.00000007407407407
