, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
5426,193,458000,7,20,3880.35387,343,0.00518134715,0.000002183406114
5427,212,1830000,9,6,563.7179091,729,0.004716981132,0.0000005464480874
5428,195,152000,11,1,2245.276653,1331,0.005128205128,0.000006578947368
5429,198,41500000,9,4,17.74370208,729,0.005050505051,0.00000002409638554
5430,203,7120000,20,25,6918.691537,8000,0.004926108374,0.0000001404494382
5431,190,458000,3,25,387.8418754,27,0.005263157895,0.000002183406114
5432,203,458000,9,11,4312.495967,729,0.004926108374,0.000002183406114
5433,195,32200,20,2,127408.8231,8000,0.005128205128,0.00003105590062
5434,205,3010000,15,15,4102.179726,3375,0.00487804878,0.0000003322259136
5435,205,3010000,1,4,0.3241228426,1,0.00487804878,0.0000003322259136
5436,193,3010000,1,30,2.582066686,1,0.00518134715,0.0000003322259136
5437,198,32200,13,30,516892.5278,2197,0.005050505051,0.00003105590062
5438,205,985000,13,25,13600.34666,2197,0.00487804878,0.000001015228426
5439,208,985000,11,6,1948.945724,1331,0.004807692308,0.000001015228426
5440,198,458000,20,11,48520.13586,8000,0.005050505051,0.000002183406114
5441,210,41500000,20,6,275.3872633,8000,0.004761904762,0.00000002409638554
5442,212,32200,15,15,370803.0587,3375,0.004716981132,0.00003105590062
5443,208,41500000,3,11,1.72034291,27,0.004807692308,0.00000002409638554
5444,212,3010000,13,2,344.2926095,2197,0.004716981132,0.0000003322259136
5445,190,13500000,3,15,7.894736842,27,0.005263157895,0.00000007407407407
5446,208,8650,3,20,15006.66963,27,0.004807692308,0.0001156069364
5447,195,985000,17,4,5115.710009,4913,0.005128205128,0.000001015228426
5448,212,1830000,20,1,1031.034127,8000,0.004716981132,0.0000005464480874
5449,200,152000,11,20,43782.89474,1331,0.005,0.000006578947368
5450,208,13500000,9,2,25.96153846,729,0.004807692308,0.00000007407407407
5451,210,1830000,7,4,178.5063752,343,0.004761904762,0.0000005464480874
5452,198,13500000,11,20,497.9423868,1331,0.005050505051,0.00000007407407407
5453,205,985000,13,20,10880.27733,2197,0.00487804878,0.000001015228426
5454,208,3010000,11,30,3188.889599,1331,0.004807692308,0.0000003322259136
5455,205,1830000,17,16,10476.87592,4913,0.00487804878,0.0000005464480874
5456,193,1830000,7,1,48.55743368,343,0.00518134715,0.0000005464480874
5457,200,3010000,11,2,221.0963455,1331,0.005,0.0000003322259136
5458,198,8650,11,15,582851.6378,1331,0.005050505051,0.0001156069364
5459,205,32200,1,1,7.574609908,1,0.00487804878,0.00003105590062
5460,210,3010000,15,4,1067.869008,3375,0.004761904762,0.0000003322259136
5461,198,1830000,20,20,22078.7106,8000,0.005050505051,0.0000005464480874
5462,203,3010000,5,2,20.45726069,125,0.004926108374,0.0000003322259136
5463,212,1830000,7,20,884.1117641,343,0.004716981132,0.0000005464480874
5464,205,3010000,5,16,162.0614213,125,0.00487804878,0.0000003322259136
5465,212,152000,1,15,23.27457795,1,0.004716981132,0.000006578947368
5466,200,458000,11,15,10897.92576,1331,0.005,0.000002183406114
5467,198,3010000,15,30,8494.412564,3375,0.005050505051,0.0000003322259136
5468,208,8650,17,25,3413322.588,4913,0.004807692308,0.0001156069364
5469,203,458000,15,2,3630.04711,3375,0.004926108374,0.000002183406114
5470,210,152000,7,4,2149.122807,343,0.004761904762,0.000006578947368
5471,195,13500000,7,30,195.4415954,343,0.005128205128,0.00000007407407407
5472,205,1830000,13,2,585.6324137,2197,0.00487804878,0.0000005464480874
5473,198,152000,15,4,22428.22967,3375,0.005050505051,0.000006578947368
5474,208,458000,17,16,41257.97783,4913,0.004807692308,0.000002183406114
5475,200,13500000,11,30,739.4444444,1331,0.005,0.00000007407407407
5476,198,13500000,3,2,1.01010101,27,0.005050505051,0.00000007407407407
5477,210,13500000,3,15,7.142857143,27,0.004761904762,0.00000007407407407
5478,190,8650,15,25,2566930.332,3375,0.005263157895,0.0001156069364
5479,193,3010000,7,6,177.1297747,343,0.00518134715,0.0000003322259136
5480,190,985000,15,4,3606.732567,3375,0.005263157895,0.000001015228426
5481,200,3010000,5,11,114.2026578,125,0.005,0.0000003322259136
5482,205,1830000,9,1,97.16113555,729,0.00487804878,0.0000005464480874
5483,212,41500000,11,16,121.0275063,1331,0.004716981132,0.00000002409638554
5484,198,985000,17,16,20152.79701,4913,0.005050505051,0.000001015228426
