, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
0,200,985000,15,16,13705.58376,3375,0.005,0.000001015228426
1,212,32200,1,15,109.867573,1,0.004716981132,0.00003105590062
2,208,32200,9,20,108844.9594,729,0.004807692308,0.00003105590062
3,195,8650,15,11,1100489.106,3375,0.005128205128,0.0001156069364
4,212,32200,5,11,10071.19419,125,0.004716981132,0.00003105590062
5,208,32200,15,6,151173.5547,3375,0.004807692308,0.00003105590062
6,208,32200,13,2,32802.79503,2197,0.004807692308,0.00003105590062
7,190,32200,5,4,4086.302713,125,0.005263157895,0.00003105590062
8,210,3010000,7,2,54.26356589,343,0.004761904762,0.0000003322259136
9,203,8650,3,30,23064.43805,27,0.004926108374,0.0001156069364
10,208,458000,5,16,1049.714478,125,0.004807692308,0.000002183406114
11,200,1830000,13,16,4802.185792,2197,0.005,0.0000005464480874
12,198,41500000,15,6,123.2201533,3375,0.005050505051,0.00000002409638554
13,193,1830000,1,30,4.247005861,1,0.00518134715,0.0000005464480874
14,200,152000,17,16,129289.4737,4913,0.005,0.000006578947368
15,205,1830000,17,4,2619.218979,4913,0.00487804878,0.0000005464480874
16,205,8650,11,4,150119.8365,1331,0.00487804878,0.0001156069364
17,190,32200,13,30,538656.4237,2197,0.005263157895,0.00003105590062
18,190,1830000,3,20,77.65314927,27,0.005263157895,0.0000005464480874
19,198,8650,5,20,72984.17703,125,0.005050505051,0.0001156069364
20,195,3010000,13,30,5614.61794,2197,0.005128205128,0.0000003322259136
21,193,458000,15,2,3818.132452,3375,0.00518134715,0.000002183406114
22,212,985000,11,20,6373.910545,1331,0.004716981132,0.000001015228426
23,203,458000,9,1,392.0450879,729,0.004926108374,0.000002183406114
24,203,7120000,7,1,11.86555599,343,0.004926108374,0.0000001404494382
25,190,7120000,15,30,3742.238321,3375,0.005263157895,0.0000001404494382
26,200,1830000,5,20,341.5300546,125,0.005,0.0000005464480874
27,203,3010000,3,20,44.18768309,27,0.004926108374,0.0000003322259136
28,200,152000,9,4,4796.052632,729,0.005,0.000006578947368
29,212,985000,7,25,2053.203716,343,0.004716981132,0.000001015228426
30,212,985000,5,1,29.93008333,125,0.004716981132,0.000001015228426
31,193,985000,15,20,17753.34683,3375,0.00518134715,0.000001015228426
32,198,32200,3,25,5293.619424,27,0.005050505051,0.00003105590062
33,200,152000,1,20,32.89473684,1,0.005,0.000006578947368
34,200,152000,20,25,328947.3684,8000,0.005,0.000006578947368
35,205,152000,20,4,51347.8819,8000,0.00487804878,0.000006578947368
36,203,41500000,17,4,116.6360021,4913,0.004926108374,0.00000002409638554
37,195,3010000,5,30,319.4479939,125,0.005128205128,0.0000003322259136
38,193,152000,1,2,3.40878102,1,0.00518134715,0.000006578947368
39,212,152000,7,25,13305.3004,343,0.004716981132,0.000006578947368
40,203,985000,7,30,2573.078943,343,0.004926108374,0.000001015228426
41,193,985000,13,30,17335.15689,2197,0.00518134715,0.000001015228426
42,205,152000,3,2,86.64955071,27,0.00487804878,0.000006578947368
43,200,41500000,17,1,29.59638554,4913,0.005,0.00000002409638554
44,210,458000,15,4,7018.091079,3375,0.004761904762,0.000002183406114
45,208,32200,11,1,9936.395127,1331,0.004807692308,0.00003105590062
46,195,8650,1,25,741.0701052,1,0.005128205128,0.0001156069364
47,195,1830000,17,15,10325.76713,4913,0.005128205128,0.0000005464480874
48,200,1830000,17,25,16779.37158,4913,0.005,0.0000005464480874
49,200,13500000,9,15,202.5,729,0.005,0.00000007407407407
50,203,1830000,13,16,4731.217529,2197,0.004926108374,0.0000005464480874
51,193,32200,15,25,678844.978,3375,0.00518134715,0.00003105590062
52,193,32200,15,2,54307.59824,3375,0.00518134715,0.00003105590062
53,203,8650,15,30,2883054.757,3375,0.004926108374,0.0001156069364
54,200,985000,7,15,1305.837563,343,0.005,0.000001015228426
55,190,1830000,17,30,21194.99569,4913,0.005263157895,0.0000005464480874
56,193,458000,5,25,1767.653913,125,0.00518134715,0.000002183406114
57,200,32200,5,4,3881.987578,125,0.005,0.00003105590062
58,210,32200,7,4,10144.92754,343,0.004761904762,0.00003105590062
59,195,41500000,17,6,182.1316033,4913,0.005128205128,0.00000002409638554
60,190,1830000,1,11,1.581823411,1,0.005263157895,0.0000005464480874
61,210,152000,5,1,195.802005,125,0.004761904762,0.000006578947368
62,208,7120000,5,25,105.5058881,125,0.004807692308,0.0000001404494382
63,198,3010000,20,2,1342.326924,8000,0.005050505051,0.0000003322259136
64,210,458000,3,1,14.03618216,27,0.004761904762,0.000002183406114
65,193,32200,9,2,11730.44122,729,0.00518134715,0.00003105590062
66,210,985000,3,6,39.15881073,27,0.004761904762,0.000001015228426
67,200,7120000,11,11,514.0800562,1331,0.005,0.0000001404494382
68,203,13500000,20,15,2189.3815,8000,0.004926108374,0.00000007407407407
69,203,3010000,11,30,3267.433678,1331,0.004926108374,0.0000003322259136
70,195,458000,15,20,37789.7212,3375,0.005128205128,0.000002183406114
71,212,3010000,7,6,161.2549364,343,0.004716981132,0.0000003322259136
72,195,13500000,7,1,6.514719848,343,0.005128205128,0.00000007407407407
73,210,32200,5,25,23107.06891,125,0.004761904762,0.00003105590062
74,195,152000,15,11,62626.51822,3375,0.005128205128,0.000006578947368
75,193,32200,1,20,160.9114022,1,0.00518134715,0.00003105590062
76,205,8650,20,16,3609192.161,8000,0.00487804878,0.0001156069364
77,210,458000,13,2,2284.258682,2197,0.004761904762,0.000002183406114
78,200,32200,9,15,84899.06832,729,0.005,0.00003105590062
79,210,458000,3,25,350.904554,27,0.004761904762,0.000002183406114
80,198,458000,7,6,1134.709541,343,0.005050505051,0.000002183406114
81,210,8650,13,11,665207.8172,2197,0.004761904762,0.0001156069364
82,193,32200,9,25,146630.5152,729,0.00518134715,0.00003105590062
83,200,458000,15,25,46056.22271,3375,0.005,0.000002183406114
84,212,41500000,15,30,575.414867,3375,0.004716981132,0.00000002409638554
85,195,32200,1,11,87.59356585,1,0.005128205128,0.00003105590062
86,198,7120000,5,4,17.73351492,125,0.005050505051,0.0000001404494382
87,208,32200,9,16,87075.96751,729,0.004807692308,0.00003105590062
88,200,152000,1,6,9.868421053,1,0.005,0.000006578947368
89,212,41500000,17,15,418.8167765,4913,0.004716981132,0.00000002409638554
90,205,32200,15,15,383464.6266,3375,0.00487804878,0.00003105590062
91,212,1830000,7,4,176.8223528,343,0.004716981132,0.0000005464480874
92,212,152000,7,15,7983.180238,343,0.004716981132,0.000006578947368
93,212,152000,5,6,1163.728898,125,0.004716981132,0.000006578947368
94,210,7120000,3,16,14.44622793,27,0.004761904762,0.0000001404494382
95,212,7120000,9,20,482.9605682,729,0.004716981132,0.0000001404494382
96,210,8650,17,15,2028488.852,4913,0.004761904762,0.0001156069364
97,195,152000,1,25,42.17273954,1,0.005128205128,0.000006578947368
98,205,3010000,17,16,6369.662102,4913,0.00487804878,0.0000003322259136
99,190,458000,13,15,18935.30223,2197,0.005263157895,0.000002183406114
100,195,8650,15,4,400177.8568,3375,0.005128205128,0.0001156069364
101,208,32200,7,6,15363.71237,343,0.004807692308,0.00003105590062
102,205,458000,17,4,10465.43828,4913,0.00487804878,0.000002183406114
103,208,985000,20,4,7809.449434,8000,0.004807692308,0.000001015228426
104,205,41500000,15,1,19.83543932,3375,0.00487804878,0.00000002409638554
105,210,7120000,3,30,27.08667737,27,0.004761904762,0.0000001404494382
106,195,8650,15,30,3001333.926,3375,0.005128205128,0.0001156069364
107,212,152000,11,15,30978.46326,1331,0.004716981132,0.000006578947368
108,195,13500000,13,2,83.45679012,2197,0.005128205128,0.00000007407407407
109,195,41500000,1,20,0.1235712079,1,0.005128205128,0.00000002409638554
110,210,458000,5,1,64.98232481,125,0.004761904762,0.000002183406114
111,190,13500000,20,30,4678.362573,8000,0.005263157895,0.00000007407407407
112,208,458000,7,30,5400.780988,343,0.004807692308,0.000002183406114
113,208,1830000,13,30,8657.786885,2197,0.004807692308,0.0000005464480874
114,193,7120000,13,15,1199.096175,2197,0.00518134715,0.0000001404494382
115,203,41500000,13,25,325.9837379,2197,0.004926108374,0.00000002409638554
116,205,3010000,15,2,546.9572968,3375,0.00487804878,0.0000003322259136
117,212,7120000,11,25,1102.229966,1331,0.004716981132,0.0000001404494382
118,212,458000,13,11,12444.89989,2197,0.004716981132,0.000002183406114
119,208,41500000,13,16,203.6144578,2197,0.004807692308,0.00000002409638554
120,200,41500000,3,25,4.06626506,27,0.005,0.00000002409638554
121,190,41500000,17,4,124.6163602,4913,0.005263157895,0.00000002409638554
122,195,8650,15,25,2501111.605,3375,0.005128205128,0.0001156069364
123,193,3010000,1,15,1.291033343,1,0.00518134715,0.0000003322259136
124,193,3010000,9,15,941.1633071,729,0.00518134715,0.0000003322259136
125,212,152000,7,11,5854.332175,343,0.004716981132,0.000006578947368
126,208,7120000,15,25,2848.658978,3375,0.004807692308,0.0000001404494382
127,200,8650,1,25,722.5433526,1,0.005,0.0001156069364
128,200,41500000,5,15,11.29518072,125,0.005,0.00000002409638554
129,210,13500000,3,4,1.904761905,27,0.004761904762,0.00000007407407407
130,205,3010000,15,16,4375.658375,3375,0.00487804878,0.0000003322259136
131,195,32200,13,20,349896.4803,2197,0.005128205128,0.00003105590062
132,190,7120000,11,11,541.1369012,1331,0.005263157895,0.0000001404494382
133,190,8650,1,25,760.5719501,1,0.005263157895,0.0001156069364
134,200,7120000,17,11,1897.577247,4913,0.005,0.0000001404494382
135,208,152000,13,30,104235.1974,2197,0.004807692308,0.000006578947368
